Name	Institution	Researcher ID	Keywords
 Aragão Ana Maria	                                    Universidade Estadual de Campinas (UNICAMP)                                                                     	C-8729-2012	                                                                     
 Arata Júlia	                                    Universidade Federal de São Carlos (UFSCar)                                                                     	D-1979-2014	                                                                     
 ARAUJO ARIELLA	                                    UNICAMP  (State University of Campinas)                                                                     	F-4523-2014	                                                                     
 Araujo Helena	                                    São Paulo University, USP                                                                     	J-9209-2015	                                                                     
 Araujo Priscila	                                    UFRN Universidade Federal do Rio Grande do Norte                                                                     	D-7845-2011	                                                                     
 Araujo Ronalda	                                    Faculdade de Saúde Pública da Universidade de São Paulo                                                                     	I-6995-2015	                                                                     
 Araujo Sheila	                                    Universidade Federal do ABC (UFABC)                                                                     	J-2840-2014	                                                                            cancer,                                                                            tgf-β,                                                                            tgf-beta signaling,                                                                            her-2/neu,                                                                            qsar, molecular docking, anticancer activity                                                                     
 Araujo Costa Ana Lais	                                    UFAL - Universidade Federal de Alagoas                                                                     	J-2927-2016	                                                                     
 Assis Livia	                                    Universidade Brasil                                                                     	H-8299-2012	                                                                     
 Azevedo Erica	                                    Rio de Janeiro Federal University, UFRJ                                                                     	N-1313-2016	                                                                     
 Azevedo LUCIANA	                                    PUC-Rio                                                                     	O-7845-2018	                                                                     
 AZEVEDO MARIANGELA	                                    Instituto de Pesquisas Energéticas Nucleares, IPEN-S                                                                     	C-7143-2012	                                                                     
 BACIL ELIANE 	                                    Universidade Federal do Paraná (UFPR)                                                                     	I-8416-2014	                                                                     
 Back Brito Graziella	                                    Institute of Science and Technology                                                                     	N-5523-2016	                                                                     
 Bagatini Inessa	                                    Universidade Federal de São Carlos (UFSCar)                                                                     	H-9960-2017	                                                                     
 Ballini Rosangela	                                    Universidade Estadua de Campinas, UNICAMP                                                                     	B-1560-2015	                                                                            time series analysis, ecopnometrics,                                                                            forecasting,                                                                            fuzzy logic and applications,                                                                            neural network and applications                                                                     
 Barbaresco Évelin	                                    UNESP  Universidade Estadual Paulista - Campus de São José do Rio Preto                                                                     	J-9432-2012	                                                                     
 Barbosa A.L.R.	                                    UFPI                                                                     	B-3025-2013	                                                                     
 Barbosa Anallu	                                    UFRGS (Federal University of Rio Grande do Sul)                                                                     	G-8341-2015	                                                                     
 Barbosa Eduardo	                                    State University of Rio de Janeiro (UERJ)                                                                     	H-8524-2013	                                                                     
 Barbosa Fco. Carlos Jacinto	                                    Universidade Estadual do Ceará - UECE                                                                     	I-4387-2015	                                                                     
 Barbosa Jose 	                                    Hospital Vila da Serra                                                                     	E-9172-2010	                                                                     
 Barbosa Maria de Lourdes	                                    UNIVERSIDADE FEDERAL DE PERNAMBUCO                                                                     	G-3881-2018	                                                                     
 Barcellos Brunna	                                    Federal University of Rio Grande do Sul (UFRGS)                                                                     	H-3744-2017	                                                                     
 Barnabé Graziela Cristina 	                                    Nepo - Núcleo de Estudos de População                                                                     	G-8541-2017	                                                                            family law,                                                                            nuptiality,                                                                            demography and population studies,                                                                            family studies,                                                                            law                                                                     
 Barreira Filho Edenilo	                                    secretaria da saude do estado do ceara                                                                     	H-1550-2018	                                                                     
 Barreto Raylane Andreza Dias	                                    Universidade Tiradentes (UNIT)                                                                     	K-5245-2017	                                                                     
 Barros Camila	                                    Universidade Federal do Rio de Janeiro (UFRJ)                                                                     	C-2011-2012	                                                                            ecology,                                                                            population ecology,                                                                            conservation and biodiversity                                                                     
 Barros Carla Eugenia	                                    UFS                                                                     	G-2276-2012	                                                                            intelectual property                                                                     
 Barros Cecília	                                    Universidade Federal de Pernambuco (UFPE)                                                                     	D-4135-2018	                                                                     
 Barros Fábio	                                    UEMA                                                                     	A-9679-2015	                                                                     
 Barros Olga	                                    Universidade Federal de Goiás                                                                     	I-1872-2018	                                                                     
 Barroso-Krause Cláudia	                                    UFRJ - Universidade federal do Rio de Janeiro                                                                     	B-1252-2010	                                                                     
 Batista Dias Acácia	                                    Universidade Estadual de Feira de Santana/University State Feira de Santana                                                                     	E-2522-2018	                                                                     
 Batsita de Souza Cláudia Regina	                                    Federal University of Para (UFPA)                                                                     	P-3029-2018	                                                                     
 Becerra Jorge	                                    EscolaPolitécnica da Universidade de São Paulo                                                                     	I-4413-2016	                                                                     
 Benfatti Cesar 	                                    Federal University of Santa Cataria (UFSC)                                                                     	T-3746-2017	                                                                     
 Bergmann Tiago	                                    UNISINOS - Universidade do Vale do Rio dos Sinos                                                                     	F-3588-2016	                                                                     
 Bernuci marcelo	                                    Unicesumar                                                                     	O-6631-2016	                                                                     
 Berti Santos Sonia	                                    Universidade Cruzeiro do Sul - UNICSUL                                                                     	D-1672-2015	                                                                     
 Bezerra Ana Cristina 	                                    Universty of Brasília                                                                     	M-5338-2013	                                                                     
 Bezerra Elaine	                                    Secretaria de Estado de Direitos Humanos e Participação Social de Minas Gerais                                                                     	V-2746-2018	                                                                     
 Bezerra Valdir	                                    Universidade Federal da Paraíba - Brasil                                                                     	L-6338-2016	                                                                     
 Bezerra de Araujo Roberto	                                    Universidade Federal do Ceará                                                                     	G-4741-2014	                                                                            pathology,                                                                            cell culture,                                                                            legal medicine,                                                                            bioethics                                                                     
 Biehl Luciano	                                    Federal University of Rio Grande (FURG)                                                                     	N-2489-2018	                                                                     
 Bini Danton 	                                    Instituto de Economia Agrícola (Institute of Agricultural Economics)                                                                     	K-7835-2018	                                                                     
 Bissoli Ana Paula	                                    UNESP                                                                     	M-7537-2017	                                                                     
 Bittencourt Rodrigo do Prado	                                    UNICAMP - Universidade Estadual de Campinas                                                                     	A-9439-2013	                                                                            guimarães rosa,                                                                            literature                                                                     
 Blumer Caroline	                                    UNICAMP  (State University of Campinas)                                                                     	A-5181-2018	                                                                     
﻿ Bocaccio Francisco 	                                    UFRGS (Universidade Federal do Rio Grande do Sul)                                                                     	K-6932-2017	                                                                     
 Bocces Marina	                                    UNESP  - São Paulo State University                                                                     	E-1010-2015	                                                                     
 Bomfim Daniela 	                                    UNICAMP  (Universidade Estadual de Campinas)                                                                     	K-8859-2015	                                                                     
 Bonilha Pinheiro  Rafael 	                                    Faculdade de Engenharia de Ilha Solteira - FEIS/UNESP,Brazil                                                                     	E-3466-2012	                                                                     
 Bonin Marina	                                    College of Animal Science and Food Engineering                                                                     	J-3666-2012	                                                                     
 BORATTO SANDRA	                                    Faculdade de Medicina ABC-FMABC                                                                     	J-9173-2018	                                                                     
 Borges Manoela	                                    Instituto Nacional de Pesquisas da Amazônia                                                                     	K-7985-2016	                                                                     
 Braccialli Lígia	                                    Universidade Estadual Paulista "Júlio de Mesquita Filho" - UNESP                                                                     	B-9751-2012	                                                                            assistive technologies for the disabled,                                                                            cerebral palsy,                                                                            physical therapy,                                                                            special education                                                                     
 BRAGA GIORDANA	                                    UNIVERSITY OF S. PAULO USP                                                                     	L-4723-2013	                                                                     
 Brandão Wesley	                                    Universidade de São  Paulo - USP                                                                     	K-5919-2017	                                                                     
 Brandelero Renata Paula	                                    Federal University Technologic of Paraná                                                                     	L-8959-2016	                                                                     
 Brito Adrianne 	                                    Universidade Federal do ABC - UFABC                                                                     	F-8402-2012	                                                                     
 Brito Mozar José 	                                    Universidade Federal de Lavras                                                                     	E-1538-2018	                                                                     
 Brito Samuel	                                    Federal University of Paraiba - UFPB                                                                     	J-8132-2012	                                                                     
 Brondi Silvia 	                                    Global Análise & Consultoria                                                                     	K-6052-2013	                                                                     
 Calisto Kelly	                                    UNICAMP  (State University of Campinas)                                                                     	J-9681-2016	                                                                     
 CAMARA JOSENEIDE TEIXEIRA 	                                    Universidade estadual do Maranhão - UEMA                                                                     	J-5417-2013	                                                                     
 Camargo André	                                    Universidade Federal do ABC, UFABC                                                                     	D-8422-2016	                                                                     
 Camargo Leandro 	                                    UFSCar - Federal University of Sao Carlos                                                                        ; Universidade Federal  de Santa Maria                                                                     	G-2066-2010	                                                                            chemistry                                                                     
 Campanari Maria Fernanda	                                    UNESP - Universidade Estadual Paulista - Jaboticabal                                                                     	O-4684-2017	                                                                            microbiologia do solo,                                                                            bioinformática,                                                                            metagenômica                                                                     
 Campos Ana Eugênia 	                                    Instituto Biológico                                                                     	H-5839-2012	                                                                            formicidae,                                                                            urban ants,                                                                            brazil,                                                                            control,                                                                            ecology,                                                                            biodiversity                                                                     
 Candeloro Rosana	                                    Universidade de Santa Cruz do Sul                                                                     	B-7448-2015	                                                                     
 Cardoso Caroline	                                    Federal University of São Paulo (UNIFESP)                                                                     	I-8491-2015	                                                                     
 Cardoso Elke 	                                    São Paulo State University                                                                     	E-5039-2013	                                                                            mycorrhiza, biological n fixation, bioremediation, soil ecology                                                                     
 Cardoso Marilia	                                    UNESP  - Sao Paulo State University - Campus Botucatu                                                                     	P-2444-2014	                                                                     
 Cardoso Wandercleiton	                                    Instituto Federal do Espírito Santo, IFES                                                                     	H-1137-2014	                                                                     
