Name	Institution	Researcher ID	Keywords
Abreu de Souza Mauren	                                    UTFPR   - Federal University of Technology - Paraná                                                                     	D-3172-2017	                                                                     
Abreu do Prado Wolf Rosângela	                                    Universidade Estadual do Centro Oeste - Unicentro                                                                     	I-2699-2016	                                                                     
Abreu Gomes Samirah 	                                    Universidade Federal de São Paulo                                                                     	J-4096-2013	                                                                     
Abreu Jr Nilton	                                    Hospital do Câncer de Muriaé, Fundação Cristiano Varella                                                                     	O-2926-2014	                                                                     
Abreu Júnior Edson	                                    Universidade de São Paulo                                                                     	I-6264-2017	                                                                     
Abreu Machado Paulo Eduardo	                                    UNESP Universidade Estadual Paulista - Campus de Botucatu                                                                     	K-1027-2013	                                                                     
Abreu Neto João Capistrano	                                    Universidade Federal do Ceará (UFC)                                                                     	S-3515-2017	                                                                     
Abreu santoa Joao paulo	                                    UNICAMP  (State University of Campinas)                                                                     	K-6943-2015	                                                                     
Abreu-e-Lima Denise	                                    Federal University of São Carlos - UFSCar                                                                     	D-3014-2012	                                                                     
Abreu-Harbich Loyde Vieira de	                                    Unicamp (Campinas State University)                                                                     	G-9093-2012	                                                                            vegetation and climate,                                                                            thermal comfort, human comfort,                                                                            urban climate,                                                                            urban design                                                                     
Abreu-Junior Cassio Hamilton	                                    Universidade de São Paulo (USP)                                                                     	H-5024-2012	                                                                     
Abreu-Mota Michelle	                                    Universidade Federal do Paraná, UFPR - Brazil                                                                     	J-6994-2014	                                                                            remote sensing,                                                                            resilience, social ecological systems, ecosystem services, regime shift                                                                     
Abreu-Villaca Y	                                    UERJ - Universidade do Estado do Rio de Janeiro                                                                     	D-5997-2015	                                                                     
Abreu-Zorzi Thais	                                    Universidade Estadual Paulista "Julio de Mesquita Filho" - campus de Araraquara                                                                     	S-1315-2018	                                                                     
Abriata Juliana	                                    University of São Paulo   USP                                                                     	K-6862-2013	                                                                     
Abriata Vera	                                    Universidade de Franca (UNIFRAN)                                                                     	J-4270-2018	                                                                     
Abrunhosa Fernando	                                    UFPA-Universidade Federal do Pará                                                                     	K-8690-2017	                                                                            crustacean biology,                                                                            larval development,                                                                            crustácea morphology                                                                     
Abrunhosa Patrícia	                                    Universidade Federal Rural do Rio de Janeiro - UFRRJ                                                                     	M-4221-2013	                                                                     
Abruzzi de Oliveira Busatto Luisa	                                    Universidade Federal do Rio Grande do Sul (UFRGS)                                                                     	D-2781-2016	                                                                     
Abs Daniel	                                    UNISINOS - Universidade do Vale do Rio dos Sinos                                                                     	B-1552-2017	                                                                     
Absi Alfaro Sadek	                                    Universidade de  Brasilia                                                                     	A-4545-2008	                                                                            welding automation,                                                                            welding engineering                                                                     
Absy Maria Lúcia	                                    Instituto Nacional de Pesquisas da Amazônia (INPA)                                                                     	E-3830-2013	                                                                     
﻿abtibol filipe	                                    UFRGS (Federal University of Rio Grande do Sul)                                                                     	F-2383-2015	                                                                     
ABU BAKAR SHAHZAD	                                    Federal University of Sao Carlos UFSCar                                                                     	J-2573-2014	                                                                     
Abu Bakar Shahzad	                                    Federal University of Sao Carlos (UFSCAR)                                                                     	E-3354-2016	                                                                     
Abu-El-Haj Jawdat	                                    UFC                                                                     	E-3411-2014	                                                                     
Abuchacra Rodrigo	                                    Universidade do Estado do Rio de Janeiro - UERJ                                                                     	F-9772-2017	                                                                     
Abuchaim Erika	                                    UNIFESP - Federal University of Sao Paulo                                                                     	D-4316-2012	                                                                     
ABUCHAIM COSTA LUIS AUGUSTO'	                                    pucrs                                                                     	E-4259-2015	                                                                     
Abud Ana Karla de Souza	                                    Universidade Federal de Sergipe                                                                     	K-3234-2016	                                                                     
Abud Ana Paula	                                    FIOCRUZ-PR                                                                     	L-4088-2016	                                                                            stem cells,                                                                            citotoxicity,                                                                            metabolism,                                                                            pluripotent stem cells,                                                                            stem cell differentiation                                                                     
Abud Celso	                                    Instituto de Física - USP                                                                     	I-5366-2013	                                                                     
Abud Daniel	                                    Faculdade de Medicina de Ribeirão Preto - Universidade de São Paulo                                                                     	K-3431-2014	                                                                            interventional radiology,                                                                            interventional neuroradiology,                                                                            endovascular neuroradiology,                                                                            endovascular neurosurgery,                                                                            endovascular neurology,                                                                            intracranial aneurysm,                                                                            intracranial arteriovenous malformations,                                                                            stroke intervention,                                                                            embolization                                                                     
Abud Daniel	                                    Medical School - FMRP-USP                                                                     	K-7306-2016	                                                                     
Abud Fábio	                                    Universidade de  São Paulo USP                                                                     	B-6519-2018	                                                                     
Abud Thiago	                                    Hospital Israelita Albert Einstein, HIAE                                                                     	Q-8167-2017	                                                                     
abuhab abrao	                                    HC - FMUSP                                                                     	J-9591-2014	                                                                     
Abujamra Ana Lucia	                                    Children´s Cancer Institute                                                                     	D-4903-2013	                                                                     
Abumanssur Calil	                                    UTFPR   - Federal University of Technology - Paraná                                                                     	S-3026-2017	                                                                     
Abumanssur Mateus	                                    Universidade de São Paulo                                                                     	C-7238-2016	                                                                     
Acacio Jéssica Cristine	                                    Fasi                                                                     	R-6263-2018	                                                                     
Acar Nelson	                                    Fundação Getulio Vargas, EAESP, FGV                                                                     	I-7756-2015	                                                                     
Acatauassu Diogo	                                    UFPA                                                                     	P-2944-2017	                                                                     
Acay Renata	                                    University of São Paulo                                                                     	B-2758-2009	                                                                     
Acayaba Raphael	                                    Universidade Estadual de Campinas - UNICAMP                                                                     	E-1923-2015	                                                                     
Acca Thiago	                                    Fundação Getulio Vargas                                                                     	K-1756-2016	                                                                     
Accardo Camila	                                    Federal University of  Sao Paulo, UNIFESP                                                                        ; Faculdade das Américas, FAM                                                                     	N-8616-2013	                                                                            cathepsin b,                                                                            inflammation,                                                                            epidemiology                                                                     
Accarini Raíssa	                                    UFSCar - Universidade Federal de São Carlos                                                                     	E-6251-2016	                                                                     
Accarini Renata	                                    Faculdade de Ciências e Letras de Araraquara                                                                     	F-8589-2012	                                                                     
Accetturi Ana 	                                    Universidade Estadual de Campinas (UNICAMP)                                                                     	B-9226-2016	                                                                            textual linguistics,                                                                            discourse analysis, sociolinguistics                                                                     
Acchar Wilson	                                    Federal University of Rio Grande do Norte, Brazil                                                                     	O-6708-2018	                                                                     
Acciari Heloisa	                                    Faculdade de Engenharia de Guaratinguetá                                                                     	K-8343-2013	                                                                     
Acciari Heloisa	                                    São Paulo State University "Júlio de Mesquita Filho"  (UNESP)                                                                     	E-8812-2017	                                                                     
Acciarri Cristina	                                    Universidade de Brasília, UnB                                                                     	F-5224-2013	                                                                            algebra,                                                                            group theory                                                                     
Accioly Inny	                                    Universidade Federal do Rio de Janeiro (UFRJ)                                                                     	I-3452-2017	                                                                     
Accioly Victor	                                    Federal University of Rio de Janeiro (UFRJ)                                                                     	C-2942-2015	                                                                     
Acco Alexandra	                                    UFPR (Federal University of Paraná)                                                                     	K-1265-2014	                                                                     
Acconcia Thiago	                                    Universidade Estadual de Campinas (UNCAMP)                                                                     	M-9704-2015	                                                                     
Accorsi Gans Luiz Henrique	                                    UTFPR (Universidade Tecnológica Federal do Paraná i.e. Federal University of Technology of Paraná)                                                                     	R-2952-2018	                                                                     
Acedo Simone	                                    UNICAMP  (State University of Campinas)                                                                     	N-5571-2014	                                                                     
Acedo Simone	                                    University of Campinas UNICAMP                                                                     	A-5524-2017	                                                                     
Acero Liliana	                                    Instituto de Economia (IE) Univeridade Federal do Rio de Janeiro(UFRJ)                                                                     	M-1934-2016	                                                                     
Acevedo Enrique	                                    UNESP JABOTICABAL                                                                     	N-5065-2014	                                                                     
Acevedo Otavio	                                    Universidade Federal de Santa Maria - UFSM                                                                     	D-7623-2013	                                                                     
Acevedo RincÃ³n Jenny Patricia	                                    UNICAMP  (State University of Campinas)                                                                     	N-5427-2014	                                                                     
achcar jorge alberto	                                    Universidade de  São Paulo (USP)                                                                     	C-9296-2014	                                                                     
Ache Dias Jonathan 	                                    Catarinense Federal Institute                                                                     	E-2077-2014	                                                                     
Achete Fernanda	                                    Universidade Federal do Rio de Janeiro (UFRJ)                                                                     	B-8704-2018	                                                                     
Achilles Marcos	                                    Achilles Genetics Biotecnologia em Reproduçāo Animal                                                                     	B-6283-2014	                                                                     
Aching Samatelo Jorge Leonid	                                    Federal University of Espirito Santo, UFES                                                                     	B-2575-2013	                                                                            computer vision,                                                                            machine learning,                                                                            biometric authentication                                                                     
Achutti Daniel	                                    Centro Universitário La Salle (UNILASALLE)                                                                     	G-9721-2012	                                                                     
Aciole Geovani	                                    University of São Carlos                                                                     	B-4093-2017	                                                                     
﻿Aciole Giovanni	                                    Universidade Federal de Sao Carlos - UFSCar                                                                     	J-6393-2012	                                                                     
Acioli Lucio	                                    Universidade Federal de Pernambuco (UFPE)                                                                     	D-1059-2013	                                                                     
ACIOLI MARIA	                                    Faculdade de Tecnologia de Alagoas                                                                     	H-9465-2015	                                                                     
Acioli Sonia	                                    Universidade do Estado do Rio de Janeiro (UERJ)                                                                     	O-7815-2015	                                                                            public health care,                                                                            participatory health research,                                                                            nursing education,                                                                            popular education                                                                     
Acioly Marcus	                                    Federal University of Rio de Janeiro (UFRJ)                                                                     	G-2724-2012	                                                                     
Acioly Thiago	                                    ESCOLA SUPERIOR DE AGRICULTURA "LUIZ DE QUEIROZ"  ESALQ/USP                                                                     	J-1186-2016	                                                                     
Ackel Antonio	                                    Universidade de São Paulo                                                                     	J-2107-2018	                                                                     
Ackel-D'Elia Carolina	                                    Universidade Federal de São Paulo, UNIFESP                                                                     	C-4688-2015	                                                                            sleep and apnea,                                                                            apnea,                                                                            exercise,                                                                            obesity,                                                                            overtraining,                                                                            exercise training in health and disease,                                                                            exercise training                                                                     
Ackermann Camila	                                    UNESP                                                                     	A-4483-2013	                                                                     
Ackermann Marko	                                    Centro Universitario da FEI                                                                     	C-6541-2012	                                                                            biomechanics of human locomotion,                                                                            rehabilitation engineering,                                                                            simulation and modeling                                                                     
Acorci Valerio Michele	                                    UNESP Universidade Estadual Paulista - Campus de Botucatu                                                                     	F-6527-2012	                                                                     
Acordes Fabiane	                                    Disaster Research Center of the Parana State                                                                     	K-2793-2018	                                                                     
Acorsi Rayanne	                                    UEM                                                                     	H-6066-2016	                                                                     
Acosta Alfredo	                                    University of São Paulo USP                                                                     	Q-7728-2017	                                                                     
Acosta Andre	                                    University of São Paulo                                                                     	H-2036-2012	                                                                     
Acosta André	                                    University of Sao Paulo, USP                                                                     	N-6354-2015	                                                                     
Acosta Emanoelle	                                    Federal University of Santa Cataria, UFSC                                                                     	N-9430-2017	                                                                     
Acosta Izani	                                    Universidade Federal de Pelotas                                                                     	D-4860-2018	                                                                     
Acosta Jarbas	                                    Universidade Federal do Rio Grande - FURG                                                                     	G-1371-2015	                                                                     
Acosta Ricardo	                                    UFSM-Universidade Federal de Santa Maria                                                                     	G-4736-2016	                                                                     
Acosta Mendonça Jean Karlo	                                    Instituto Federal Farroupilha                                                                     	H-3497-2012	                                                                            mendonça jka                                                                     
Acosta Molano David Leonardo	                                    Federal University of Rio de Janeiro                                                                     	R-1323-2016	                                                                     
Acosta Navarro Julio Cesar	                                    Instituto do Coração do Hospital das Clínicas da Faculdade de Medicina da USP (InCor HCFMUSP)                                                                     	J-3031-2012	                                                                     
Acosta Sarmiento Jhair Stivel	                                    Universidade Estadual de Campinas ( UNICAMP ) / University of Campinas  ( UNICAMP )                                                                     	S-6348-2016	                                                                     
Acosta-Avalos Daniel	                                    Centro Brasileiro de Pesquisas Fisicas - CBPF                                                                     	G-7473-2014	                                                                     
Acqua Inct	                                    Universidade Federal de Minas Gerais, UFMG                                                                     	K-3446-2013	                                                                     
Acquaro Junior Vinicius 	                                    Universidade de São  Paulo - USP                                                                     	L-7864-2014	                                                                     
Acquarone Mariana	                                    Federal University of Rio de Janeiro (UFRJ)                                                                     	D-8862-2015	                                                                     
Acquaviva Carolina	                                    Hospital Israelita Albert Einstein                                                                     	N-3131-2014	                                                                     
Acra Luiz	                                    Pontificia Universidade Catolica do Parana (PUCPR)                                                                     	A-5740-2013	                                                                     
Acrani Gustavo	                                    University of São Paulo   USP                                                                     	M-3885-2014	                                                                     
Acselrad Oscar	                                    Federal University of Rio de Janeiro (UFRJ)                                                                     	N-5798-2016	                                                                     
Actis Zaidan Humberto	                                    UESC                                                                     	A-2115-2009	                                                                     
Acunha Jr Ivoni	                                    Federal Institute of Education, Science and Technology of Rio Grande do Sul                                                                     	P-8222-2015	                                                                     
Acurcio Francisco	                                    Universidade Federal de Minas Gerais (UFMG)                                                                     	G-2583-2012	                                                                     
Ada Silva Guilherme	                                    UNIRIO - Universidade Federal do Estado do Rio de Janeiro                                                                     	K-1468-2015	                                                                     
Adabo Gabrielle 	                                    Universidade Estadual de Campinas (UNICAMP)                                                                     	I-6709-2013	                                                                     
Adabo Gelson	                                    São Paulo State University - UNESP                                                                     	C-1314-2012	                                                                     
Adabo Geraldo	                                    Instituto Tecnológico de Aeronáutica (ITA)                                                                     	L-1164-2016	                                                                     
Adachi Aisni Mayumi C. L.	                                    UNESP  - Sao Paulo State University - Campus Botucatu                                                                     	D-7541-2016	                                                                     
Adachi Patricia	                                    Universidade de São Paulo - USP                                                                     	C-8497-2012	                                                                     
Adachi Sérgio	                                    São Paulo State University - UNESP, Institute of Biosciences                                                                     	M-6331-2017	                                                                     
ADAD SHARA	                                    Universidade Federal do Piauí , UFPI - Campus Ministro Petrônio Portella                                                                     	B-3257-2018	                                                                     
Adade Camila 	                                    Universidade Federal do Rio de Janeiro (UFRJ)                                                                     	A-9644-2014	                                                                     
Adaime Ricardo	                                    Embrapa Amapá                                                                     	J-2043-2014	                                                                     
Adam Carolina	                                    Universidade Federal do Paraná (UFPR)                                                                     	N-4309-2018	                                                                     
Adam Eduardo	                                    Heart Institute (InCor)                                                                     	I-9963-2014	                                                                     
Adam Jonathan	                                    Faculdade de Tecnologia de São Paulo - FATEC-SP                                                                     	G-4434-2018	                                                                            desalination,                                                                            hydraulics,                                                                            pipes and open channels,                                                                            hydromecanics,                                                                            sanitation,                                                                            technologist                                                                     
Adam Kymberly 	                                    Unversidade Positivo                                                                     	F-3880-2017	                                                                     
Adam Mônica 	                                    Universidade Federal de Pernambuco (UFPE)                                                                     	H-7891-2012	                                                                     
﻿Adam Randall	                                    UNICAMP  (University of Campinas)                                                                     	J-5574-2014	                                                                     
Adamatti Bianka	                                    Universidade do Vale do Rio dos Sinos (UNISINOS)                                                                     	L-5022-2018	                                                                     
Adamatti Diana Francisca	                                    Universidade Federal do Rio Grande                                                                     	L-3572-2013	                                                                     
Adame Andressa	                                    University of Sao Paulo (USP)                                                                     	N-7676-2014	                                                                     
Adames Tiagoadames	                                    Universidade Federal do Mato Grosso do Sul                                                                     	P-7590-2018	                                                                     
Adami Adriana	                                    Universidade de Caxias do Sul - UCS                                                                     	F-3545-2012	                                                                     
Adami Alessandro	                                    Universidade de Passo Fundo (UPF)                                                                     	R-6841-2018	                                                                     
Adami Ana Leticia	                                    USP  - Universidade de São Paulo                                                                     	V-7573-2017	                                                                     
Adami Andre	                                    Universidade de Caxias do Sul                                                                     	E-9714-2012	                                                                            speaker recognition,                                                                            speaker diarization,                                                                            home healthcare                                                                     
Adami Andreia 	                                    Universidade de São  Paulo - USP / University of São Paulo                                                                     	I-5481-2018	                                                                     
Adami Bianca	                                    UFRGS (Federal University of Rio Grande do Sul)                                                                     	J-1151-2018	                                                                     
Adami Feliciano	                                    Univ Estadual Paulista (UNESP)                                                                     	K-3441-2013	                                                                     
Adami Fernando	                                    Faculdade de Medicina do ABC                                                                     	D-3855-2012	                                                                     
Adami Yara	                                    Universidade Federal Fluminense (UFF)                                                                     	G-6571-2014	                                                                     
Adamo Cristina	                                    Centro de Tecnologia e Informação Renato Archer                                                                     	C-8614-2015	                                                                     
Adamoski Douglas	                                    Centro Nacional de Pesquisa em Energia e Materiais, CNPEM                                                                     	J-8570-2014	                                                                     
Adamowski Julio	                                    Univesidade de São Paulo                                                                     	F-6879-2013	                                                                     
Adams Andréa	                                    Universidade Federal de Santa Maria - UFSM                                                                     	A-4755-2013	                                                                     
Adams Cristina	                                    University of Sao Paulo (USP)                                                                     	C-5585-2009	                                                                            human ecology,                                                                            amazon,                                                                            atlantic rainforest,                                                                            shifting cultivation,                                                                            swidden,                                                                            environmental anthropology,                                                                            rural development                                                                     
Adamshuk Silva Rodolfo	                                    São Paulo University, USP                                                                     	H-4575-2013	                                                                     
Adamshuk Silva Rodrigo	                                    Federal University of Technology – Paraná. Campus Ponta Grossa                                                                     	F-5735-2017	                                                                     
Adamy Ari	                                    Santa Casa de Curitiba                                                                     	G-6195-2012	                                                                     
Adamy Pedro	                                    Pontifícia Universidade Católica do Rio Grande do Sul (PUCRS)                                                                     	K-1302-2015	                                                                     
Adanho Corynne	                                    FIOCRUZ - Fundação Oswaldo Cruz                                                                     	U-4531-2018	                                                                     
Adão Claudia	                                    Universidade de São Paulo                                                                     	S-6738-2018	                                                                     
Adão Mariana	                                    Universidade Estadual de Campinas, UNICAMP                                                                     	B-3112-2016	                                                                     
Adão Regina	                                    Federal University of ABC (UFABC)                                                                     	L-2745-2016	                                                                            protein  folding and misfolding,                                                                            membrane biochemistry,                                                                            thermodynamic,                                                                            aggregation                                                                     
Adão Neto Minos Martins	                                    Universidade Federal do Amazonas                                                                     	H-6661-2016	                                                                     
Adão Perini de Oliveira Talita	                                    UNISUAM - UNIVERSIDADE AUGUSTO MOTTA                                                                     	D-1949-2018	                                                                     
Adapta Inct	                                    Instituto Nacional de Pesquisas da Amazônia, INPA                                                                     	J-8371-2013	                                                                     
Adati Renata 	                                    Universidade Tecnológica Federal do Paraná (UTFPR), câmpus Curitiba - PR                                                                     	D-4124-2016	                                                                     
Addad Joao	                                    Tertium Geociencia                                                                     	G-2485-2010	                                                                            remediation,                                                                            degradation,                                                                            polyaromatic hydrocarbons - pahs,                                                                            monoaromatic hydrocarbons - btex,                                                                            groundwater contamination,                                                                            soil contamination,                                                                            biosurfactants,                                                                            ecotoxicology                                                                     
